"pubmedID","num_inter","n_proteins","methods"
"8266078","3","3","anti bait coimmunoprecipitation"
"11948183","3","4","two hybrid"
"10821830","2","2","comigration in non denaturing gel electrophoresis"
"10888881","1","2","two hybrid"
"15109305","2","3","coimmunoprecipitation"
"8702870","1","1","coimmunoprecipitation"
"14743218","1","2","coimmunoprecipitation"
"12857853","2","3","cosedimentation"
"15231747","239","188","two hybrid"
"15047703","5","5","coimmunoprecipitation"
"12368262","8","9","coimmunoprecipitation"
"8576247","4","4","coimmunoprecipitation"
"12244133","1","2","coimmunoprecipitation"
"14734561","6","4","anti tag coimmunoprecipitation"
"8887653","3","5","anti bait coimmunoprecipitation"
"12953102","1","2","coimmunoprecipitation,imaging technique,molecular sieving"
"11988099","1","2","coimmunoprecipitation,two hybrid"
"9150141","1","2","anti bait coimmunoprecipitation,experimental interaction detection,pull down"
"15232106","109","29","protein array"
"12637535","1","1","comigration in non denaturing gel electrophoresis"
"14722085","3","4","coimmunoprecipitation"
"12419256","10","8","two hybrid"
"12727845","1","2","anti bait coimmunoprecipitation"
"10636891","1","2","pull down"
"12881425","1","2","experimental interaction detection"
"10938077","1","2","anti tag coimmunoprecipitation,protein kinase assay"
"9593709","2","3","filter binding"
"9472015","1","2","far western blotting"
"8006019","3","4","biochemical"
"11748232","1","2","pull down"
"9271120","1","2","pull down"
"15243141","3","4","coimmunoprecipitation"
"11418237","3","4","coimmunoprecipitation,pull down"
"12681507","1","2","two hybrid"
"15175163","393","133","anti tag coimmunoprecipitation"
"12842894","1","2","protein kinase assay"
"14707117","4","4","anti bait coimmunoprecipitation"
"15051726","1","2","anti bait coimmunoprecipitation,pull down,two hybrid"
"9482739","2","3","imaging technique"
"14690447","12","12","two hybrid"
"10521409","1","2","experimental interaction detection"
"14755250","9","7","anti tag coimmunoprecipitation"
"11090615","1","2","coimmunoprecipitation,pull down,two hybrid"
"7799929","1","2","far western blotting"
"12149480","8","6","anti tag coimmunoprecipitation,coimmunoprecipitation"
"12584197","11","9","anti tag coimmunoprecipitation"
"15094042","1","2","coimmunoprecipitation"
"15184380","2","3","coimmunoprecipitation"
"15215856","1","2","anti bait coimmunoprecipitation,classical fluorescence spectroscopy"
"12963728","28","17","anti tag coimmunoprecipitation"
"11533489","2","3","coimmunoprecipitation,experimental interaction detection"
"10491193","2","3","two hybrid"
"9697774","1","2","two hybrid"
"14576168","61","27","anti tag coimmunoprecipitation"
"12504588","3","2","polymerization"
"15247416","1","2","coimmunoprecipitation"
"14638676","53","28","anti tag coimmunoprecipitation"
"11057907","1","2","mass spectrometry studies of complexes"
"12857745","1","2","pull down"
"8570649","1","2","far western blotting"
"8702753","1","2","pull down,two hybrid"
"15303970","17","18","affinity chromatography technology"
"11714716","12","9","anti bait coimmunoprecipitation,pull down"
"9488668","1","2","pull down"
"10831611","1","2","pull down"
"9988268","1","2","coimmunoprecipitation,two hybrid"
"15220930","1","2","coimmunoprecipitation"
"14559776","1","2","pull down"
"12230472","2","3","anti tag coimmunoprecipitation,pull down"
"12750381","3","4","surface plasmon resonance"
"12944474","2","3","cosedimentation through density gradient,pull down"
