"pubmedID","pvalue","xmin_est","xmax","ntail","len_degree","unique_degree","gof","alpha","n_inter"
"18206972","0.63","4","8","7","9","7","0.116363732767023","3.61540935793997",21
"29774127","0.06","1","7","8","8","3","0.309856565589912","1.80228508898995",11
"15488952","0.07","1","3","7","7","3","0.372264797337959","1.74340687480846",9
"25974097","0.23","3","8","9","10","4","0.157827293771142","3.25208199020715",21
"26508657","0.07","1","36","60","60","4","0.0807062121295862","3.31138203682546",57
"24121268","0.33","2","9","6","10","4","0.149813404762973","2.59652957720022",13
"11745344","0.06","2","7","9","10","4","0.222157535480473","2.20268289477872",19
"18548008","0.25","2","6","6","9","4","0.185947001999194","2.80737148336564",11
"15199122","0.6","6","9","7","9","5","0.139442533360936","6.09331469498366",26
"18809579","0.59","2","6","5","7","4","0.154917425402038","2.73069687572982",9
"25324306","0","1","210","337","337","4","0.0397205633486766","3.26652545475867",382
"16888650","0.4","2","5","9","13","5","0.125987313633634","2.94193982337547",15
"16541025","0.56","2","7","7","9","5","0.137598418492022","2.51500399244773",13
"21502505","0.4","1","8","12","12","5","0.107034101066825","1.9974260137328",14
"27563068","0.04","2","6","10","11","5","0.244290601102083","2.20234730382093",20
"23708001","0.23","2","7","6","10","4","0.172032414164152","2.72050853115651",12
"25490258","0.18","1","12","15","15","4","0.122854630900352","2.09677070970847",18
"27153538","0","2","21","23","25","5","0.276859124024666","2.22689577004951",59
"23954414","0.08","1","6","9","9","3","0.31278893986899","1.8088528154977",12
"25499913","0.17","1","51","56","56","4","0.04003477264244","3.16373756646376",56
"20953165","0.48","2","10","9","12","5","0.117889759900216","2.58370968400646",18
"17215244","0","1","22","32","32","4","0.121192889358247","2.19756238998402",41
"26514267","0","1","153","252","252","4","0.0397134579679141","3.23275196174493",283
"24811749","0.03","1","65","83","83","4","0.0589395861181317","3.30639819372435",86
"18337751","0.1","3","8","9","13","5","0.202215171107951","3.16387291488118",23
"17386266","0.24","2","5","6","8","5","0.199816471205005","2.47596749276571",11
"15388328","0.62","2","6","6","8","4","0.1275362802511","2.95143858585239",10
"26774286","0.24","2","5","6","8","5","0.199816471205005","2.47596749276571",11
"20395553","0.66","1","9","17","17","5","0.0602280627887107","2.14073939532447",19
"15998806","0","1","19","20","20","4","0.180988484311873","1.85976325067175",34
"23418353","0.47","2","6","5","7","5","0.175627168323796","2.40410528007951",10
